description,amount,transaction_type,category
POS COLIVING MONTHLY RENTAL STAY,12740.03,expense,Rent
POS COLLEGE SEMESTER TUITION FEE,42973.11,expense,Education
POS CHEQUE CLEARING CHARGE FEE,6347.37,income,Other
UPI/donationtopmcaresrelieffund/555401,8809.95,income,Other
UPI/tata1mghealthcarevitaminsupplements/672133,7167.89,expense,Healthcare
UPI/sbinifty50indexfunddirect/182175,3091.12,expense,Investment
Tanishq silver jewellery INR 22935.39,22935.39,expense,Shopping
POS CAMBRIDGE IELTS EXAM REGISTRATION FEE,30408.57,expense,Education
POS INFOSYS TECHNOLOGIES MONTHLY SALARY,115922.21,income,Salary
POS DECATHLON SPORTS GEAR,19126.25,expense,Shopping
Delhi Metro smart card INR 3077.15,3077.15,expense,Transport
H&M cotton shirt INR 1519.69,1519.69,expense,Shopping
UPI/domino'spizzadelivery/736130,2767.30,expense,Food
POS LOCAL LIBRARY MEMBERSHIP RENEWAL,12420.32,expense,Education
UPI/contentmarketingretainerwiretransfer/604906,55417.90,income,Freelance
UPI/accenturepayrolldirectcredit/156904,47690.53,income,Salary
POS APOLLO PHARMACY PRESCRIPTION MEDICINES,4086.77,expense,Healthcare
YouTube Premium family bundle,794.77,expense,Entertainment
Lifestyle sunglasses purchase Ref #44675,17309.67,expense,Shopping
Smaaash gaming arcade pass Ref #77621,1750.36,expense,Entertainment
Mahanagar Gas piped natural gas INR 5166.23,5166.23,expense,Utilities
POS TANISHQ SILVER JEWELLERY,21868.91,expense,Shopping
POS APOLLO PHARMACY PRESCRIPTION MEDICINES,6142.94,expense,Healthcare
Donation to PM CARES relief fund,6444.95,income,Other
Fortis Healthcare physician visit INR 8914.92,8914.92,expense,Healthcare
UPI/independentcodeauditconsultingfee/310040,33381.57,income,Freelance
POS STANDUP COMEDY OPEN MIC TICKET,1571.04,expense,Entertainment
Skin clinic consultation fee,11617.99,expense,Healthcare
POS BIGBASKET DAILY VEGGIES,1456.21,expense,Food
Monthly apartment house rent transfer Ref #90431,17124.67,expense,Rent
UPI/growwmutualfundmonthlysip/148118,42711.05,expense,Investment
ATM cash withdrawal transaction INR 1868.52,1868.52,expense,Other
Inox multiplex popcorn combo,1570.25,expense,Entertainment
Bharat Gas refill booking,4225.57,expense,Utilities
Charity contribution CRY foundation,9098.34,income,Other
Technical writing freelance retainer Ref #99536,17794.91,income,Freelance
Subway club sub Ref #23238,3005.19,expense,Food
Puma running shoes INR 10858.42,10858.42,expense,Shopping
UPI/clientuidesignconsultinginvoice/508783,50838.29,income,Freelance
POS BWSSB WATER SUPPLY BILL,4255.22,expense,Utilities
Dentist clinic dental cleaning INR 4366.36,4366.36,expense,Healthcare
Tanishq silver jewellery,11603.24,expense,Shopping
Local library membership renewal INR 14301.85,14301.85,expense,Education
SRL Diagnostics lipid profile panel INR 3648.03,3648.03,expense,Healthcare
UPI/ikeahomedecor/919182,16393.54,expense,Shopping
POS AMAZON RETAIL PURCHASE,12133.70,expense,Shopping
YouTube Premium family bundle,847.33,expense,Entertainment
Allen Career Institute coaching fees INR 968.39,968.39,expense,Education
Apple Music individual INR 1866.70,1866.70,expense,Entertainment
Content marketing retainer wire transfer,11688.76,income,Freelance
POS PARAG PARIKH FLEXI CAP FUND,1877.89,expense,Investment
UPI/reimbursementmedicalclaimcredit/542904,162234.20,income,Salary
Birthday cash gift received INR 4764.78,4764.78,income,Other
Disney+ Hotstar super plan Ref #15726,1772.38,expense,Entertainment
Groww Mutual Fund monthly SIP INR 45650.11,45650.11,expense,Investment
Cafe Coffee Day cappuccino,390.91,expense,Food
UPI/monthlyapartmenthouserenttransfer/435039,17363.87,expense,Rent
Dr Lal PathLabs full blood test INR 8270.99,8270.99,expense,Healthcare
POS SMAAASH GAMING ARCADE PASS,399.28,expense,Entertainment
Parag Parikh Flexi Cap Fund,47399.25,expense,Investment
Netmeds online medicine order Ref #28343,4698.58,expense,Healthcare
UPI/blinkitgroceryessentials/319684,1346.02,expense,Food
Stanza Living student PG rent Ref #18885,14737.60,expense,Rent
Cheque clearing charge fee Ref #67961,6200.59,income,Other
H&M cotton shirt INR 4870.53,4870.53,expense,Shopping
Udemy python machine learning course,10663.23,expense,Education
POS OXFORD UNIVERSITY PRESS TEXTBOOKS,17671.29,expense,Education
POS INOX MULTIPLEX POPCORN COMBO,231.43,expense,Entertainment
UPI/accenturepayrolldirectcredit/363550,36879.96,income,Salary
Croma electronics accessory Ref #24993,12049.60,expense,Shopping
Mahanagar Gas piped natural gas INR 2885.82,2885.82,expense,Utilities
Charity contribution CRY foundation INR 7686.21,7686.21,expense,Other
Monthly tech payroll salary credit Ref #63636,106401.21,income,Salary
Woodland leather wallet INR 2697.33,2697.33,expense,Shopping
Tata 1mg healthcare vitamin supplements,9606.95,expense,Healthcare
Nykaa cosmetics order,15684.86,expense,Shopping
POS LIFESTYLE SUNGLASSES PURCHASE,24525.76,expense,Shopping
Quarterly performance appraisal bonus,169033.78,income,Salary
UPI/chequeclearingchargefee/648736,204.50,income,Other
Public Provident Fund PPF annual deposit INR 18538.17,18538.17,expense,Investment
Bescom monthly electricity bill,2184.49,expense,Utilities
Shoppers Stop casuals INR 1114.01,1114.01,expense,Shopping
POS QUARTERLY PERFORMANCE APPRAISAL BONUS,113334.41,income,Salary
UPI/softwaredevelopmentmilestonepayout/211636,33499.42,income,Freelance
Myntra fashion apparel INR 6300.68,6300.68,expense,Shopping
UPI/myntrafashionapparel/218972,24809.53,expense,Shopping
UPI/uniqlowinterwear/411797,22749.21,expense,Shopping
UPI/technicalwritingfreelanceretainer/305587,64941.61,income,Freelance
Upwork Escrow freelance earnings credit Ref #31119,45144.06,income,Freelance
SonyLIV entertainment pass INR 859.41,859.41,expense,Entertainment
Groww Mutual Fund monthly SIP INR 28261.85,28261.85,expense,Investment
Tata Consultancy Services salary,94106.75,income,Salary
POS MONTHLY APARTMENT HOUSE RENT TRANSFER,9581.96,expense,Rent
Zara clothing store INR 24035.37,24035.37,expense,Shopping
Monthly tech payroll salary credit INR 57666.90,57666.90,income,Salary
Vi cellular monthly bill Ref #28430,1260.05,expense,Utilities
UPI/blinkitgroceryessentials/573417,3156.68,expense,Food
POS AXIS SMALL CAP FUND MONTHLY DEBIT,10208.85,expense,Investment
POS SBI NIFTY 50 INDEX FUND DIRECT,32721.61,expense,Investment
Apple Music individual INR 2125.29,2125.29,expense,Entertainment
Eye care optical glasses lens,3050.10,expense,Healthcare
Haldiram's dinner INR 2675.12,2675.12,expense,Food
Uniqlo winter wear,17777.91,expense,Shopping
Coliving monthly rental stay,18017.55,expense,Rent
UPI/collegesemestertuitionfee/610310,19324.65,expense,Education
Indane LPG cooking gas cylinder refill Ref #69028,2308.40,expense,Utilities
UPI/amazonprimeannualmembership/858889,788.61,expense,Entertainment
Coding boot camp enrollment,38231.05,expense,Education
UPI/guestlecturehonorariumcredit/622998,30614.69,income,Freelance
Wipro Limited payroll disbursement,136803.93,income,Salary
Burger King combo meal,1999.46,expense,Food
Donation to PM CARES relief fund INR 3274.87,3274.87,expense,Other
Manipal Hospital OPD consultation Ref #95332,4116.62,expense,Healthcare
Titan watch showroom Ref #34586,10565.89,expense,Shopping
POS VACCINATION CLINIC BOOSTER DOSE,4186.02,expense,Healthcare
Ola autos commute Ref #66450,3079.02,expense,Transport
UPI/allencareerinstitutecoachingfees/190400,3075.87,expense,Education
UPI/manipalhospitalopdconsultation/360289,1446.03,expense,Healthcare
Paradise Biryani takeaway,3418.62,expense,Food
POS CREDIT CARD ANNUAL RENEWAL SURCHARGE,6169.09,expense,Other
GRE exam test fee payment Ref #85750,15529.44,expense,Education
Tata Play DTH recharge Ref #28018,821.93,expense,Utilities
Bharat Gas refill booking Ref #25495,622.11,expense,Utilities
POS EDX CERTIFICATE FEE,10192.65,expense,Education
POS BWSSB WATER SUPPLY BILL,534.31,expense,Utilities
College semester tuition fee INR 38806.08,38806.08,expense,Education
Bank account annual debit card maintenance Ref #85534,469.98,income,Other
UPI/udemypythonmachinelearningcourse/865618,37493.47,expense,Education
PlayStation Plus quarterly network,826.89,expense,Entertainment
House deposit monthly installment Ref #87194,14027.40,expense,Rent
UPI/technicalwritingfreelanceretainer/316823,66091.97,income,Freelance
Nykaa cosmetics order,5996.09,expense,Shopping
POS STANDUP COMEDY OPEN MIC TICKET,433.14,expense,Entertainment
POS FIXED DEPOSIT CREATION ICICI BANK,10894.04,expense,Investment
Oxford University Press textbooks,28894.30,expense,Education
Parag Parikh Flexi Cap Fund Ref #77537,41229.85,expense,Investment
UPI/tataconsultancyservicessalary/511981,169881.36,income,Salary
Parag Parikh Flexi Cap Fund INR 21242.26,21242.26,expense,Investment
UPI/vaccinationclinicboosterdose/177959,3362.48,expense,Healthcare
Reliance Digital headphones INR 12042.21,12042.21,expense,Shopping
Accenture payroll direct credit INR 67379.46,67379.46,income,Salary
POS TATA POWER CONSUMER BILL PAYMENT,5232.39,expense,Utilities
Public Provident Fund PPF annual deposit,23749.59,expense,Investment
POS TATA CONSULTANCY SERVICES SALARY,179511.51,income,Salary
Sovereign Gold Bond tranche investment INR 12192.50,12192.50,expense,Investment
Paradise Biryani takeaway INR 2598.73,2598.73,expense,Food
Lifestyle sunglasses purchase INR 17953.20,17953.20,expense,Shopping
POS STANZA LIVING STUDENT PG RENT,9152.80,expense,Rent
Donation to PM CARES relief fund INR 3335.63,3335.63,expense,Other
POS H&M COTTON SHIRT,1867.10,expense,Shopping
Client UI design consulting invoice Ref #62502,20012.07,income,Freelance
Coding boot camp enrollment Ref #45041,13374.62,expense,Education
Airtel prepaid 84 days recharge Ref #96799,3216.17,expense,Utilities
POS STARBUCKS COFFEE,1918.71,expense,Food
Apollo Pharmacy prescription medicines,5053.65,expense,Healthcare
EdX certificate fee Ref #65885,15228.37,expense,Education
POS LOCAL LIBRARY MEMBERSHIP RENEWAL,23614.79,expense,Education
POS MUNICIPAL WASTE MANAGEMENT FEE,4397.18,expense,Utilities
Spotify premium family plan INR 297.37,297.37,expense,Entertainment
UPI/independentcodeauditconsultingfee/733561,60486.02,income,Freelance
HPCL petrol station refill Ref #59834,1534.62,expense,Transport
Manipal Hospital OPD consultation,4987.87,expense,Healthcare
UPI/skinclinicconsultationfee/495489,760.71,expense,Healthcare
UPI/airportparkingpayment/678727,2966.30,expense,Transport
Vaccination clinic booster dose Ref #37152,335.55,expense,Healthcare
POS EYE CARE OPTICAL GLASSES LENS,8478.72,expense,Healthcare
Office studio monthly rent,21556.74,expense,Rent
Zara clothing store Ref #44687,15787.67,expense,Shopping
Zepto quick grocery Ref #49446,2185.06,expense,Food
Donation to PM CARES relief fund INR 8074.70,8074.70,income,Other
Woodland leather wallet,15396.92,expense,Shopping
POS REDBUS INTERCITY BUS SEAT,3883.31,expense,Transport
UPI/irctcrailwaytrainticket/346205,1031.22,expense,Transport
POS UDEMY PYTHON MACHINE LEARNING COURSE,30070.31,expense,Education
POS SOLAR ROOFTOP SERVICE FEE,5427.90,expense,Utilities
Namma Metro card recharge,7193.41,expense,Transport
Lifestyle sunglasses purchase INR 1931.74,1931.74,expense,Shopping
Coliving monthly rental stay INR 16941.55,16941.55,expense,Rent
Puma running shoes Ref #35995,10157.70,expense,Shopping
Tata Power consumer bill payment Ref #14888,3082.33,expense,Utilities
Solar rooftop service fee INR 2472.42,2472.42,expense,Utilities
UPI/bwssbwatersupplybill/495833,4821.90,expense,Utilities
POS MYNTRA FASHION APPAREL,8959.84,expense,Shopping
UPI/officestudiomonthlyrent/864234,11438.41,expense,Rent
UPI/upworkescrowfreelanceearningscredit/594580,62627.88,income,Freelance
Disney+ Hotstar super plan Ref #39552,2253.09,expense,Entertainment
UPI/reimbursementmedicalclaimcredit/707021,152833.15,income,Salary
Local library membership renewal,14901.91,expense,Education
Paradise Biryani takeaway Ref #73092,1469.94,expense,Food
Stationery depot notebooks and pens Ref #53463,43523.06,expense,Education
UPI/pvrcinemasimaxweekendtickets/888939,1523.45,expense,Entertainment
Upwork Escrow freelance earnings credit INR 73641.28,73641.28,income,Freelance
POS APPLE STORE USB CABLE,15551.44,expense,Shopping
UPI/applemusicindividual/283594,1980.21,expense,Entertainment
Smaaash gaming arcade pass INR 872.05,872.05,expense,Entertainment
Vi cellular monthly bill,3032.16,expense,Utilities
Vijay Sales home appliance INR 13109.03,13109.03,expense,Shopping
POS TITAN WATCH SHOWROOM,9054.54,expense,Shopping
UPI/vicellularmonthlybill/240718,4924.04,expense,Utilities
Fixed deposit creation ICICI bank,6539.77,expense,Investment
UPI/softwaredevelopmentmilestonepayout/459316,55693.08,income,Freelance
POS UDEMY PYTHON MACHINE LEARNING COURSE,12846.59,expense,Education
Bharat Gas refill booking INR 1086.59,1086.59,expense,Utilities
Bharat Petroleum diesel fill INR 8069.14,8069.14,expense,Transport
Vi cellular monthly bill,3698.03,expense,Utilities
Coursera annual specialization pass INR 6574.93,6574.93,expense,Education
Charity contribution CRY foundation Ref #20819,1408.67,expense,Other
Dentist clinic dental cleaning,5345.69,expense,Healthcare
POS MONTHLY TECH PAYROLL SALARY CREDIT,153033.80,income,Salary
UPI/starbuckscoffee/526117,2748.00,expense,Food
POS FRIEND LOAN REPAYMENT CASH TRANSFER,5533.12,income,Other
KFC crispy chicken INR 2348.79,2348.79,expense,Food
Paradise Biryani takeaway Ref #92719,104.59,expense,Food
Blinkit grocery essentials INR 1572.47,1572.47,expense,Food
Delhi Metro smart card,7683.76,expense,Transport
Flat landlord rent direct NEFT,32728.08,expense,Rent
Stanza Living student PG rent INR 13805.56,13805.56,expense,Rent
Museum entry tickets,1952.38,expense,Entertainment
Blinkit grocery essentials INR 2412.67,2412.67,expense,Food
POS FLAT LANDLORD RENT DIRECT NEFT,10733.96,expense,Rent
Technical writing freelance retainer,10602.78,income,Freelance
POS SOVEREIGN GOLD BOND TRANCHE INVESTMENT,40195.06,expense,Investment
Namma Metro card recharge Ref #87743,5780.94,expense,Transport
UPI/titanwatchshowroom/378535,16331.81,expense,Shopping
Tata 1mg healthcare vitamin supplements Ref #12125,8933.84,expense,Healthcare
Stationery depot notebooks and pens Ref #40689,32806.21,expense,Education
POS PARAG PARIKH FLEXI CAP FUND,9513.13,expense,Investment
Stanza Living student PG rent Ref #23645,25270.46,expense,Rent
POS VIJAY SALES HOME APPLIANCE,23220.75,expense,Shopping
EdX certificate fee INR 7984.47,7984.47,expense,Education
Allen Career Institute coaching fees Ref #27290,44808.38,expense,Education
Friend loan repayment cash transfer Ref #83156,5628.39,expense,Other
POS ALLEN CAREER INSTITUTE COACHING FEES,1798.09,expense,Education
Local vegetable market INR 985.89,985.89,expense,Food
UPI/dentistclinicdentalcleaning/857505,1318.51,expense,Healthcare
Rapido bike taxi INR 6311.19,6311.19,expense,Transport
UPI/woodlandleatherwallet/870214,22279.80,expense,Shopping
Standup comedy open mic ticket INR 1881.01,1881.01,expense,Entertainment
POS STANDUP COMEDY OPEN MIC TICKET,1351.06,expense,Entertainment
UPI/officestudiomonthlyrent/101533,33676.74,expense,Rent
Stanza Living student PG rent INR 20556.56,20556.56,expense,Rent
UPI/starbuckscoffee/593554,3062.81,expense,Food
Apollo Pharmacy prescription medicines INR 290.43,290.43,expense,Healthcare
Upwork Escrow freelance earnings credit Ref #73192,21064.04,income,Freelance
POS KISAN VIKAS PATRA POST OFFICE,22249.60,expense,Investment
UPI/zomatoonlinedelivery/944151,2890.56,expense,Food
POS EDX CERTIFICATE FEE,20336.59,expense,Education
Eye care optical glasses lens INR 1799.27,1799.27,expense,Healthcare
Spotify premium family plan,2116.64,expense,Entertainment
Oxford University Press textbooks INR 33978.24,33978.24,expense,Education
UPI/tataconsultancyservicessalary/407835,83004.65,income,Salary
UPI/localvegetablemarket/777568,2382.91,expense,Food
UPI/sovereigngoldbondtrancheinvestment/700056,8982.46,expense,Investment
Tata 1mg healthcare vitamin supplements INR 9064.22,9064.22,expense,Healthcare
Woodland leather wallet INR 20832.00,20832.00,expense,Shopping
UPI/srldiagnosticslipidprofilepanel/261630,3144.28,expense,Healthcare
Coursera annual specialization pass INR 20083.86,20083.86,expense,Education
Independent code audit consulting fee Ref #59326,41166.40,income,Freelance
Mirae Asset Large Cap Fund SIP INR 13711.89,13711.89,expense,Investment
Udemy python machine learning course,35916.50,expense,Education
POS ALLEN CAREER INSTITUTE COACHING FEES,22246.62,expense,Education
POS BANK ACCOUNT ANNUAL DEBIT CARD MAINTENANCE,7945.37,expense,Other
Accenture payroll direct credit Ref #83699,145312.38,income,Salary
Coding boot camp enrollment INR 22578.06,22578.06,expense,Education
POS STARBUCKS COFFEE,848.46,expense,Food
Solar rooftop service fee,1795.79,expense,Utilities
Kisan Vikas Patra post office INR 21603.16,21603.16,expense,Investment
POS MCDONALD'S DRIVE-THRU,1945.92,expense,Food
Pind Balluchi family dinner Ref #19171,1325.64,expense,Food
Delhi Metro smart card Ref #43289,3946.72,expense,Transport
UPI/pindballuchifamilydinner/133326,2099.48,expense,Food
Puma running shoes,2495.45,expense,Shopping
Practo doctor video consult,11028.88,expense,Healthcare
Allen Career Institute coaching fees,34869.00,expense,Education
Credit card annual renewal surcharge INR 5526.71,5526.71,expense,Other
Parag Parikh Flexi Cap Fund,24245.42,expense,Investment
Manipal Hospital OPD consultation,5055.07,expense,Healthcare
POS WIPRO LIMITED PAYROLL DISBURSEMENT,129916.42,income,Salary
Airtel prepaid 84 days recharge,1958.72,expense,Utilities
POS FIXED DEPOSIT CREATION ICICI BANK,12854.97,expense,Investment
POS ANNUAL FESTIVAL PERFORMANCE INCENTIVE,60486.67,income,Salary
College semester tuition fee,23461.24,expense,Education
POS OFFICE STUDIO MONTHLY RENT,30923.16,expense,Rent
Client UI design consulting invoice INR 67355.84,67355.84,income,Freelance
UPI/annualfestivalperformanceincentive/420310,87017.53,income,Salary
POS ALLEN CAREER INSTITUTE COACHING FEES,20674.50,expense,Education
Smaaash gaming arcade pass,1280.29,expense,Entertainment
UPI/bookmyshowcinematickets/421384,1636.73,expense,Entertainment
Monthly tech payroll salary credit INR 93498.75,93498.75,income,Salary
Guest lecture honorarium credit Ref #63840,16939.67,income,Freelance
POS MONTHLY APARTMENT HOUSE RENT TRANSFER,9861.01,expense,Rent
UPI/jiotrue5gunlimitedrecharge/759580,1185.83,expense,Utilities
Fixed deposit creation ICICI bank Ref #91675,38791.23,expense,Investment
IndiGo flight ticket booking,2690.82,expense,Transport
POS DENTIST CLINIC DENTAL CLEANING,10984.82,expense,Healthcare
FASTag toll recharge NH48 Ref #72163,8107.86,expense,Transport
POS OFFICE STUDIO MONTHLY RENT,25030.37,expense,Rent
Credit card annual renewal surcharge Ref #82100,9034.60,income,Other
Tata Consultancy Services salary Ref #98643,85133.68,income,Salary
UPI/colivingmonthlyrentalstay/226601,16478.90,expense,Rent
Netmeds online medicine order INR 1374.02,1374.02,expense,Healthcare
Sagar Ratna south indian meal Ref #80686,3378.12,expense,Food
UPI/locallibrarymembershiprenewal/816116,16760.22,expense,Education
Zoomcar rental deposit INR 4277.22,4277.22,expense,Transport
Fiverr international gig payment,36261.64,income,Freelance
Subway club sub INR 278.10,278.10,expense,Food
Flat landlord rent direct NEFT Ref #96096,10703.63,expense,Rent
POS FORTIS HEALTHCARE PHYSICIAN VISIT,3603.66,expense,Healthcare
Medplus healthcare drugs,11889.80,expense,Healthcare
POS AXIS SMALL CAP FUND MONTHLY DEBIT,7034.94,expense,Investment
POS UBER PREMIER CAB RIDE,7783.91,expense,Transport
POS OFFICE STUDIO MONTHLY RENT,16587.56,expense,Rent
Mirae Asset Large Cap Fund SIP Ref #33176,31920.61,expense,Investment
POS HALDIRAM'S DINNER,1055.55,expense,Food
Zepto quick grocery Ref #93886,3464.17,expense,Food
POS REIMBURSEMENT MEDICAL CLAIM CREDIT,174219.47,income,Salary
POS FRIEND LOAN REPAYMENT CASH TRANSFER,314.84,income,Other
UPI/friendloanrepaymentcashtransfer/564478,7735.13,income,Other
POS EYE CARE OPTICAL GLASSES LENS,10806.84,expense,Healthcare
ATM cash withdrawal transaction INR 5852.66,5852.66,expense,Other
POS APOLLO PHARMACY PRESCRIPTION MEDICINES,9703.09,expense,Healthcare
House deposit monthly installment,12916.21,expense,Rent
Client UI design consulting invoice Ref #33480,36235.43,income,Freelance
UPI/myntrafashionapparel/705050,12496.97,expense,Shopping
UPI/airindiadomesticflight/878086,3405.25,expense,Transport
YouTube Premium family bundle,1760.82,expense,Entertainment
Udemy python machine learning course INR 13747.35,13747.35,expense,Education
POS HOUSE DEPOSIT MONTHLY INSTALLMENT,17579.73,expense,Rent
UPI/byju'slearningtabletsubscription/218710,24962.36,expense,Education
SRL Diagnostics lipid profile panel Ref #20363,4063.62,expense,Healthcare
Credit card annual renewal surcharge,2794.13,income,Other
UPI/quarterlyperformanceappraisalbonus/884645,79180.22,income,Salary
UPI/museumentrytickets/592972,1027.91,expense,Entertainment
Mahanagar Gas piped natural gas,4185.91,expense,Utilities
Fixed deposit creation ICICI bank,24138.76,expense,Investment
Corporate employer net salary deposit INR 38444.18,38444.18,income,Salary
Uniqlo winter wear,18899.44,expense,Shopping
Subway club sub Ref #85914,3392.99,expense,Food
UPI/tata1mghealthcarevitaminsupplements/286266,5826.27,expense,Healthcare
UPI/clientuidesignconsultinginvoice/311505,35728.04,income,Freelance
POS OFFICE STUDIO MONTHLY RENT,10314.10,expense,Rent
Office studio monthly rent INR 23822.45,23822.45,expense,Rent
Amazon retail purchase INR 24997.73,24997.73,expense,Shopping
Stanza Living student PG rent Ref #99922,10441.36,expense,Rent
Physiotherapy rehabilitation session Ref #83339,8739.40,expense,Healthcare
POS COLLEGE SEMESTER TUITION FEE,14378.43,expense,Education
Dentist clinic dental cleaning Ref #42321,4429.33,expense,Healthcare
House deposit monthly installment INR 12391.73,12391.73,expense,Rent
UPI/birthdaycashgiftreceived/644719,9451.57,expense,Other
Donation to PM CARES relief fund INR 6999.65,6999.65,income,Other
Tata Silver ETF purchase order Ref #86372,28763.10,expense,Investment
YouTube Premium family bundle INR 1163.13,1163.13,expense,Entertainment
Infosys Technologies monthly salary Ref #92132,73169.02,income,Salary
POS UDEMY PYTHON MACHINE LEARNING COURSE,14443.45,expense,Education
Coliving monthly rental stay INR 14392.84,14392.84,expense,Rent
Smaaash gaming arcade pass,1161.35,expense,Entertainment
Zoomcar rental deposit,4535.70,expense,Transport
H&M cotton shirt,23343.27,expense,Shopping
Annual festival performance incentive,159205.44,income,Salary
House deposit monthly installment INR 10557.58,10557.58,expense,Rent
POS YOUTUBE PREMIUM FAMILY BUNDLE,355.45,expense,Entertainment
Content marketing retainer wire transfer,37462.65,income,Freelance
POS INOX MULTIPLEX POPCORN COMBO,1880.39,expense,Entertainment
UPI/rapidobiketaxi/535686,2810.78,expense,Transport
